\$t_s\$,0.284625355796775,1502.63042159856
\$\\ell\$,0.245003493207637,1025.0440438798
\$\\alpha_{\\ell d}\$,0.263494365267773,972.134679169255
\$r_\\textrm{M}\$,0.145485595341677,708.195608040541
seed,0.0732221905589819,297.592640050474
\$\\beta\$,0.0798725636742331,280.779953877897
season,0.0780299243438965,227.617470921451
\$\\alpha_{\\ell}\$,0.0413488207895694,145.708671809432
\$\\alpha_{s}\$,0.00631835274640325,43.9013518230884
\$\\kappa\$,-0.000102197835253448,2.46343666780026
