\$t_s\$,0.31782590950762,1765.11574795534
\$\\ell\$,0.285703741541069,1175.95210934126
\$\\alpha_{\\ell d}\$,0.264091147945553,943.570098825652
\$r_\\textrm{M}\$,0.106927823599289,475.839628828805
season,0.0976749816699253,307.373415782765
seed,0.0708275234120006,231.834361592233
\$\\alpha_{\\ell}\$,0.0413272681791241,153.701459347235
\$\\alpha_{s}\$,0.00727301055069587,52.2315343786122
\$\\beta\$,0.0153875156929782,49.6308834367
\$\\kappa\$,-0.000635225188540934,1.88753582979441
