\$t_s\$,0.317130748589033,1777.58304215665
\$\\ell\$,0.295938663310471,1206.88101428411
\$\\alpha_{\\ell d}\$,0.269233962540508,926.049424943378
\$r_\\textrm{M}\$,0.113697604872115,456.196659021612
season,0.100139520694593,303.762780790973
seed,0.075387094692006,242.578979474801
\$\\alpha_{\\ell}\$,0.044240514719911,163.213549340244
\$\\beta\$,0.0179119429016492,64.5254593033165
\$\\alpha_{s}\$,0.00689036105597197,48.4985621914835
\$\\kappa\$,-0.000543751988532864,1.80421639602871
