\$t_s\$,0.322506024712093,1688.7715513871
\$\\ell\$,0.286655122075665,929.953562764156
\$\\alpha_{\\ell d}\$,0.253051146998411,748.497133574533
\$r_\\textrm{M}\$,0.174267874385404,724.550828524321
seed,0.167718339065538,654.745825736586
\$\\alpha_{\\ell}\$,0.0787792933253957,328.340868891362
season,0.0999305968744877,310.83649671025
\$\\beta\$,0.0162413508593512,59.4412103289037
\$\\alpha_{s}\$,0.0089214240619861,54.6075783712363
\$\\kappa\$,-0.000803257886150992,1.96536636327538
