"var","%IncMSE","IncNodePurity"
"start_month",6742.48618766374,13591028.4764751
"moore",1905.45123064501,3311284.36763532
"season",1122.82349025792,2129035.83772833
"beta",407.459171995291,560148.258027544
"a_l",400.814477536805,621637.999991063
"latency_period",366.615115519099,687902.154762037
"a_ld",209.781745343031,443221.057553577
"a_s",191.848532570435,437146.941752889
"seed",185.348748547776,254386.181331936
"kappa",-8.84915592635608,13113.2541352353
