\$r_\\textrm{M}\$,0.332761733415206,1574.04429478187
\$t_s\$,0.301019592562656,1381.84100996321
\$\\ell\$,0.276200916317235,885.538796289985
\$\\alpha_{\\ell d}\$,0.259950535675866,689.01577186957
seed,0.126446516202603,452.191898226471
\$\\alpha_{\\ell}\$,0.0751252664239787,313.814068832874
season,0.0904905666499662,271.417687518894
\$\\beta\$,0.0404985596319434,146.021862045498
\$\\alpha_{s}\$,0.0118677357101918,69.6614657583972
\$\\kappa\$,-0.000725171264174121,1.99048666135894
