\$t_s\$,0.266959144624402,1487.40796113777
\$r_\\textrm{M}\$,0.211893319821395,1217.06972447927
\$\\alpha_{\\ell d}\$,0.263460996657862,794.466791714087
seed,0.135895525690403,726.765002602234
\$\\ell\$,0.209030092505368,721.373734337748
season,0.067784615385462,163.396794633274
\$\\alpha_{\\ell}\$,0.0274901161769813,137.58126452099
\$\\beta\$,0.0399424393425253,131.68337246979
\$\\alpha_{s}\$,0.00841572371165507,53.9558327757013
\$\\kappa\$,-0.000357597818422578,2.45569887350947
